,external_urls,followers,genres,href,id,images,name,popularity,type,uri
0,{'spotify': 'https://open.spotify.com/artist/4ArPQ1Opcksbbf3CPwEjWE'},"{'href': None, 'total': 62983}",['social media pop'],https://api.spotify.com/v1/artists/4ArPQ1Opcksbbf3CPwEjWE,4ArPQ1Opcksbbf3CPwEjWE,"[{'height': 640, 'url': 'https://i.scdn.co/image/996d8ff252206b633b6b438403fd74f817d144c2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/355c31b451aba821196da58d3d051d057a3b7bf1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/31972f53b8fed4d9b0998a833c475b4bc0eb43dd', 'width': 160}]",Emilee,74,artist,spotify:artist:4ArPQ1Opcksbbf3CPwEjWE
1,{'spotify': 'https://open.spotify.com/artist/1uquUYtkdKei0zuhBY9P0t'},"{'href': None, 'total': 82779}","['acoustic pop', 'canadian contemporary r&b', 'canadian pop', 'neo mellow']",https://api.spotify.com/v1/artists/1uquUYtkdKei0zuhBY9P0t,1uquUYtkdKei0zuhBY9P0t,"[{'height': 640, 'url': 'https://i.scdn.co/image/d786fb9f7e7bb2318551b7575f0f2c72c7baad84', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/797fa2914b52671038ca9c24b7a54618bf735cb4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/d642513bf3db7d8869059b4a0028b68e6552fc4f', 'width': 160}]",Justin Nozuka,52,artist,spotify:artist:1uquUYtkdKei0zuhBY9P0t
2,{'spotify': 'https://open.spotify.com/artist/16rCzZOMQX7P8Kmn5YKexI'},"{'href': None, 'total': 484160}","['alternative r&b', 'dance pop', 'indie anthem-folk', 'indie r&b', 'indie soul', 'neo soul', 'pop', 'r&b', 'uk contemporary r&b']",https://api.spotify.com/v1/artists/16rCzZOMQX7P8Kmn5YKexI,16rCzZOMQX7P8Kmn5YKexI,"[{'height': 640, 'url': 'https://i.scdn.co/image/9e16194bb88feea671247b10818f3d34d42ffb37', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/a6601bdfa805ec03a9b45250307535079065bcb4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/0557bc2070ae355f3b15e29a85b2f64f8f96b91f', 'width': 160}]",Mahalia,68,artist,spotify:artist:16rCzZOMQX7P8Kmn5YKexI
3,{'spotify': 'https://open.spotify.com/artist/4IWBUUAFIplrNtaOHcJPRM'},"{'href': None, 'total': 7016487}","['pop', 'talent show', 'uk pop']",https://api.spotify.com/v1/artists/4IWBUUAFIplrNtaOHcJPRM,4IWBUUAFIplrNtaOHcJPRM,"[{'height': 640, 'url': 'https://i.scdn.co/image/dd8ceb41c23ec3352cfc19df178e7f243d6182e4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/172fa4d891f61f04c48b115f3f4aa61a8cee3ec5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/8cf66f450aa8451d51d541fc88867d35d1f3b456', 'width': 160}]",James Arthur,86,artist,spotify:artist:4IWBUUAFIplrNtaOHcJPRM
4,{'spotify': 'https://open.spotify.com/artist/3oSJ7TBVCWMDMiYjXNiCKE'},"{'href': None, 'total': 2977496}","['contemporary country', 'country road']",https://api.spotify.com/v1/artists/3oSJ7TBVCWMDMiYjXNiCKE,3oSJ7TBVCWMDMiYjXNiCKE,"[{'height': 640, 'url': 'https://i.scdn.co/image/c1c4dca1973a866b372b642f10486ca952b7e211', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/beca65a5bb586204529b0ac386e588ba33bcc645', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/e09d198d51cd9264ba2b2533bb113eed71c92948', 'width': 160}]",Kane Brown,80,artist,spotify:artist:3oSJ7TBVCWMDMiYjXNiCKE
5,{'spotify': 'https://open.spotify.com/artist/1zNqQNIdeOUZHb8zbZRFMX'},"{'href': None, 'total': 998609}","['melodic rap', 'pop rap', 'rap', 'trap']",https://api.spotify.com/v1/artists/1zNqQNIdeOUZHb8zbZRFMX,1zNqQNIdeOUZHb8zbZRFMX,"[{'height': 640, 'url': 'https://i.scdn.co/image/faee4f49e912cfac5d3d8db1aa950182881d71b4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/1ea7f66e83075f2690215a48afca9bce7ee078f0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/af9928e82d0b5803fb828060475c4c962e18e538', 'width': 160}]",Swae Lee,84,artist,spotify:artist:1zNqQNIdeOUZHb8zbZRFMX
6,{'spotify': 'https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny'},"{'href': None, 'total': 13022691}","['alternative r&b', 'pop']",https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,6LuN9FCkKOj5PcnpouEgny,"[{'height': 640, 'url': 'https://i.scdn.co/image/480468924609319ff2c0ed518082be473793552a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d6469af4893eebd6d5ec2355f5186d50510a5fa1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/a38a64575d10f0c9f0c174713e23e3f7c5b9cd33', 'width': 160}]",Khalid,90,artist,spotify:artist:6LuN9FCkKOj5PcnpouEgny
7,{'spotify': 'https://open.spotify.com/artist/7Lk9V7E1u5gqSHmtcKlOqH'},"{'href': None, 'total': 142604}","['modern indie pop', 'pop', 'social media pop']",https://api.spotify.com/v1/artists/7Lk9V7E1u5gqSHmtcKlOqH,7Lk9V7E1u5gqSHmtcKlOqH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ff2585ab911532ee0ca21ca89dc63f491a3eb513', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/d8db286a2d18bd23773413c2890a790002968f96', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/c3d5e645062d72868a050b60703a65a12fbd900d', 'width': 160}]",Sara Kays,68,artist,spotify:artist:7Lk9V7E1u5gqSHmtcKlOqH
8,{'spotify': 'https://open.spotify.com/artist/5Nm4sZeWDNd1sOs5HcxAbl'},"{'href': None, 'total': 7612}",['indie anthem-folk'],https://api.spotify.com/v1/artists/5Nm4sZeWDNd1sOs5HcxAbl,5Nm4sZeWDNd1sOs5HcxAbl,"[{'height': 640, 'url': 'https://i.scdn.co/image/5dd797f16e1a06da9556c7529ef396106889e47b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/96f44bbe5f6b859a39f0162747cabe96ce08be0f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/3766b86242caca2f11e8fc5e7e5fef75c0c0dc4b', 'width': 160}]",Aaron Smith,50,artist,spotify:artist:5Nm4sZeWDNd1sOs5HcxAbl
9,{'spotify': 'https://open.spotify.com/artist/1W7FNibLa0O0b572tB2w7t'},"{'href': None, 'total': 440421}","['bedroom soul', 'pop']",https://api.spotify.com/v1/artists/1W7FNibLa0O0b572tB2w7t,1W7FNibLa0O0b572tB2w7t,"[{'height': 640, 'url': 'https://i.scdn.co/image/c9d0a7271b1906ff47eba7a38dbd91114f18e2ae', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/baea63e681e4c0b5b0db5a7a902c2c46bd573e89', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/b9006fdddd1537877c3d104c525edbb5a608f58d', 'width': 160}]",Pink Sweat$,77,artist,spotify:artist:1W7FNibLa0O0b572tB2w7t
