,external_urls,followers,genres,href,id,images,name,popularity,type,uri
0,{'spotify': 'https://open.spotify.com/artist/0GOx72r5AAEKRGQFn3xqXK'},"{'href': None, 'total': 2649998}","['francoton', 'french hip hop', 'rap conscient']",https://api.spotify.com/v1/artists/0GOx72r5AAEKRGQFn3xqXK,0GOx72r5AAEKRGQFn3xqXK,"[{'height': 640, 'url': 'https://i.scdn.co/image/b4be3d6c031ac605fbec7a36d754efcd060c6889', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ae12fc3a0b4f0d2e02b71f1f6335b65eb7aae0d6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/c75abdbfaf5981ee1728f38db6430ba945aa8790', 'width': 160}]",GIMS,76,artist,spotify:artist:0GOx72r5AAEKRGQFn3xqXK
1,{'spotify': 'https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr'},"{'href': None, 'total': 30293876}","['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr,7n2wHs1TKAczGzO7Dd2rGr,"[{'height': 640, 'url': 'https://i.scdn.co/image/809b93c47fca237138e53968d86682f09d0f45a2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/8f7114cb0c7bc5e3f311bccf940bb48d8a6dcb37', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/1fa2f885381dcbc22d5d1a66bbbe0aec81010152', 'width': 160}]",Shawn Mendes,91,artist,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
2,{'spotify': 'https://open.spotify.com/artist/5Nq9MbzweBc5oL4WzsECx4'},"{'href': None, 'total': 455553}","['chanson', 'francoton', 'french pop', 'french rock']",https://api.spotify.com/v1/artists/5Nq9MbzweBc5oL4WzsECx4,5Nq9MbzweBc5oL4WzsECx4,"[{'height': 640, 'url': 'https://i.scdn.co/image/c08bc9c651323e3202c51e25e0d886860b9c32d1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/f91420fa70bd03844129e5431a81cb819291f7dd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/f67d263d1e86856ac03eda6e234f1e40593b36a3', 'width': 160}]",Calogero,61,artist,spotify:artist:5Nq9MbzweBc5oL4WzsECx4
3,{'spotify': 'https://open.spotify.com/artist/7gU9VyFRN3JWPJ5oHOil60'},"{'href': None, 'total': 219273}","['francoton', 'pop urbaine']",https://api.spotify.com/v1/artists/7gU9VyFRN3JWPJ5oHOil60,7gU9VyFRN3JWPJ5oHOil60,"[{'height': 640, 'url': 'https://i.scdn.co/image/5fff6d1b5aa50633dd915d4c75d1409a24b45de5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/3601862e2a59320bad08dd00b5f32e0b05c79475', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/c96ec217c8a38ecc9e0e23e58f85bff638b36728', 'width': 160}]",Tayc,71,artist,spotify:artist:7gU9VyFRN3JWPJ5oHOil60
4,{'spotify': 'https://open.spotify.com/artist/6Ad91Jof8Niiw0lGLLi3NW'},"{'href': None, 'total': 1274810}","['british indie rock', 'modern rock', 'rock']",https://api.spotify.com/v1/artists/6Ad91Jof8Niiw0lGLLi3NW,6Ad91Jof8Niiw0lGLLi3NW,"[{'height': 640, 'url': 'https://i.scdn.co/image/f7947d693f495dc2e5c66b837da4295306fc174f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/6ba1ebef90444ccd7e35ac7e2bca999d8c34b328', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/104756a59776a0f97570f5530603dc13a4840d5b', 'width': 160}]",YUNGBLUD,80,artist,spotify:artist:6Ad91Jof8Niiw0lGLLi3NW
5,{'spotify': 'https://open.spotify.com/artist/5KBbs98MK59UNMF1VTwMmz'},"{'href': None, 'total': 413579}","['francoton', 'french pop', 'variete francaise']",https://api.spotify.com/v1/artists/5KBbs98MK59UNMF1VTwMmz,5KBbs98MK59UNMF1VTwMmz,"[{'height': 640, 'url': 'https://i.scdn.co/image/7f226051eac64fc5646a2df783f25845d35b8162', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/34a61f7780f9394f9b07b6e192c53d4a49d5b14d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/2fb0f8baebeebb772d996f72194eccb08c2f8d86', 'width': 160}]",Claudio Capéo,58,artist,spotify:artist:5KBbs98MK59UNMF1VTwMmz
6,{'spotify': 'https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ'},"{'href': None, 'total': 1463689}","['hip hop', 'pop rap', 'portland hip hop', 'rap', 'underground hip hop']",https://api.spotify.com/v1/artists/3Gm5F95VdRxW3mqCn8RPBJ,3Gm5F95VdRxW3mqCn8RPBJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ed0bd1c3180f3cdd762342555a68a7df71d9c393', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/67a9586eb19d5c935c5c49634f72fae8e334c099', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6436635382e4fc9037ec0d9fedf134f7d82265f1', 'width': 160}]",Aminé,77,artist,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ
7,{'spotify': 'https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc'},"{'href': None, 'total': 4564977}","['metropopolis', 'modern rock', 'pop', 'pop rock', 'rock', 'tropical house']",https://api.spotify.com/v1/artists/7EQ0qTo7fWT7DPxmxtSYEc,7EQ0qTo7fWT7DPxmxtSYEc,"[{'height': 640, 'url': 'https://i.scdn.co/image/db20198e68faf1700fff4e185a0ec3f774e5b1fc', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/cd823c98482bdfafe90b8c67a94a3758bd4854ce', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/c7071944a0da66d57e3efd3ac87328c38b74af66', 'width': 160}]",Bastille,79,artist,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc
8,{'spotify': 'https://open.spotify.com/artist/6ADpAfFsO5dJadJoBKv3nz'},"{'href': None, 'total': 54388}","['chanson', 'french pop', 'french rock']",https://api.spotify.com/v1/artists/6ADpAfFsO5dJadJoBKv3nz,6ADpAfFsO5dJadJoBKv3nz,"[{'height': 640, 'url': 'https://i.scdn.co/image/e302790dc36d266b7e01f586e0874354d91c798a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/520d312ffcc28dc71624722ceef128f007e87965', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/0f5ad18f73fb4422b406dbf317fcb7a96b1f1dbb', 'width': 160}]",Thomas Dutronc,49,artist,spotify:artist:6ADpAfFsO5dJadJoBKv3nz
9,{'spotify': 'https://open.spotify.com/artist/6euPnGzBlDysAC5ecVguNZ'},"{'href': None, 'total': 445235}","['francoton', 'french pop', 'variete francaise']",https://api.spotify.com/v1/artists/6euPnGzBlDysAC5ecVguNZ,6euPnGzBlDysAC5ecVguNZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/8f57bbf86725b1540be4dc354e82f1f57e55e0d8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/186b96c2b41458c06fbb3f161947e1b1550bc7e7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/e16156c88bbfd5c1e342d44685fa73c61b1add1f', 'width': 160}]",M. Pokora,61,artist,spotify:artist:6euPnGzBlDysAC5ecVguNZ
